id,activity_name,domain,difficulty,goal,skills_targeted,materials,time_required_minutes,step_instructions,age_range,sensory_suitability,autism_level_suitability,environment_fit,cost_level,learning_style_fit
110,Ball Toss (Gross Motor) - Improve balance and #114,Gross Motor,Easy,Improve balance and coordination,"inhibition control, coordination","ball, spoon",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Sensory-seeking,Level 3 (high support),Group setting possible,No cost,Auditory
111,Turn-Taking Game (Speech) - Encourage turntaking in #113,Speech,Easy,Encourage turn-taking in conversation,"speech production, turn-taking","spoon, pillow, clothespins, safe scissors",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",8-10,Mixed,Level 1 (mild support),Quiet environment,Low cost,Mixed
112,Dance Freeze (Gross Motor) - Develop motor planning #159,Gross Motor,Moderate,Develop motor planning,"coordination, motor planning","pillow, plastic cups, small toys, markers",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Mixed,Level 1 (mild support),Low materials / small space,Low cost,Visual
113,Deep Pressure Routine (Sensory) - Support body awareness #23,Sensory,Easy,Support body awareness,"proprioception, transitioning","buttons, plastic cups, clothespins",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Sensory-seeking,Level 2 (moderate support),Low materials / small space,No cost,Auditory
114,Texture Bin (Sensory) - Practice deep pressure #38,Sensory,Moderate,Practice deep pressure calming routine,"tactile tolerance, body awareness","pencil, crayons",30,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Sensory-avoidant,Level 1 (mild support),Quiet environment,No cost,Visual
115,Dance Freeze (Gross Motor) - Improve balance and #72,Gross Motor,Moderate,Improve balance and coordination,"inhibition control, balance","blocks, playdough",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Mixed,Level 1 (mild support),Group setting possible,No cost,Auditory
116,Jump & Stop (Gross Motor) - Build stamina with #139,Gross Motor,Moderate,Build stamina with short routines,"motor planning, balance","pom-poms, rice or beans in a container, ball, stickers",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",3-4,Sensory-seeking,Level 2 (moderate support),Low materials / small space,Low cost,Mixed
117,Pinch & Place (Fine Motor) - Develop pincer grasp #175,Fine Motor,Moderate,Develop pincer grasp,"bilateral coordination, finger isolation","crayons, markers",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 1 (mild support),Group setting possible,No cost,Visual
118,Trace & Copy (Writing) - Improve spacing and #218,Writing,Moderate,Improve spacing and line awareness,"letter formation, spacing","small toys, pencil, safe scissors, picture cards",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",3-4,Sensory-avoidant,Level 1 (mild support),Quiet environment,Medium cost,Kinesthetic
119,Calm Corner (Sensory) - Support transition to #174,Sensory,Easy,Support transition to new activities,"tactile tolerance, proprioception","pencil, glue",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Sensory-seeking,Level 1 (mild support),Low materials / small space,Low cost,Kinesthetic
120,Texture Bin (Sensory) - Improve tolerance to #70,Sensory,Easy,Improve tolerance to textures,"sensory modulation, body awareness","glue, coins, plastic cups, string",25,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Mixed,Level 2 (moderate support),Low materials / small space,Low cost,Mixed
121,Emotion Words (Speech) - Encourage turntaking in #233,Speech,Easy,Encourage turn-taking in conversation,"speech production, turn-taking","soft toys, rubber bands, playdough, stickers",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",8-10,Sensory-avoidant,Level 1 (mild support),Group setting possible,Low cost,Auditory
122,Calm Corner (Sensory) - Support transition to #188,Sensory,Moderate,Support transition to new activities,"self-regulation, tactile tolerance","zipper pouch, flashcards, plastic cups",25,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Sensory-seeking,Level 3 (high support),Quiet environment,Low cost,Auditory
123,Sticker Pick-Up (Fine Motor) - Improve writing readiness #133,Fine Motor,Challenging,Improve writing readiness,"grip strength, dexterity","paper, pillow, tape on floor",25,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Neutral,Level 2 (moderate support),Group setting possible,No cost,Mixed
124,Dance Freeze (Gross Motor) - Improve balance and #141,Gross Motor,Moderate,Improve balance and coordination,"core strength, endurance","notebook, buttons, pillow, soft toys",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",3-4,Sensory-seeking,Level 2 (moderate support),Low materials / small space,Low cost,Visual
125,Playdough Press (Fine Motor) - Improve buttoning and #10,Fine Motor,Easy,Improve buttoning and zipping practice,"dexterity, finger isolation","crayons, blocks, string",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Mixed,Level 1 (mild support),Outdoor friendly,Low cost,Mixed
126,Threading (Fine Motor) - Improve finger strength #128,Fine Motor,Challenging,Improve finger strength and control,"dexterity, grip strength","pillow, pom-poms, crayons",25,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,Low cost,Visual
127,Guided Journal (Writing) - Practice tracing shapes #133,Writing,Easy,Practice tracing shapes and letters,"sentence building, spacing","small toys, safe scissors, soft toys, plastic cups",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Neutral,Level 3 (high support),Group setting possible,Low cost,Kinesthetic
128,Playdough Press (Fine Motor) - Develop pincer grasp #182,Fine Motor,Moderate,Develop pincer grasp,"grip strength, tool use","clothespins, coins, stickers",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Mixed,Level 1 (mild support),Group setting possible,No cost,Auditory
129,Obstacle Course (Gross Motor) - Increase core strength #197,Gross Motor,Challenging,Increase core strength,"core strength, endurance","glue, pillow",25,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Neutral,Level 2 (moderate support),Group setting possible,No cost,Auditory
130,Playdough Press (Fine Motor) - Develop inhand manipulation #69,Fine Motor,Moderate,Develop in-hand manipulation,"grip strength, hand-eye coordination","coins, notebook, spoon, string",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Sensory-avoidant,Level 2 (moderate support),Outdoor friendly,Low cost,Visual
131,Shape Practice (Writing) - Develop letter formation #187,Writing,Moderate,Develop letter formation,"visual-motor integration, fine motor precision","picture cards, buttons",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Neutral,Level 2 (moderate support),Outdoor friendly,Low cost,Kinesthetic
132,Dance Freeze (Gross Motor) - Build stamina with #196,Gross Motor,Moderate,Build stamina with short routines,"motor planning, inhibition control","picture cards, pom-poms",25,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Mixed,Level 3 (high support),Outdoor friendly,Low cost,Visual
133,Heavy Work (Sensory) - Support transition to #220,Sensory,Moderate,Support transition to new activities,"tactile tolerance, body awareness","soft toys, stickers, pencil, picture cards",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-seeking,Level 2 (moderate support),Low materials / small space,No cost,Mixed
134,Trace & Copy (Writing) - Build sentence writing #100,Writing,Moderate,Build sentence writing using prompts,"fine motor precision, sentence building","notebook, spoon, tape on floor",30,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Neutral,Level 3 (high support),Quiet environment,Low cost,Kinesthetic
135,Sound Imitation (Speech) - Encourage turntaking in #229,Speech,Moderate,Encourage turn-taking in conversation,"turn-taking, social communication","tape on floor, safe scissors, paper, soft toys",30,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Sensory-avoidant,Level 3 (high support),Outdoor friendly,No cost,Kinesthetic
136,Pinch & Place (Fine Motor) - Improve scissor skills #180,Fine Motor,Easy,Improve scissor skills with safe cutting,"tool use, grip strength","small toys, string, coins",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Mixed,Level 3 (high support),Outdoor friendly,Low cost,Auditory
137,Obstacle Course (Gross Motor) - Encourage wholebody movement #156,Gross Motor,Moderate,Encourage whole-body movement,"coordination, motor planning","ball, rice or beans in a container, notebook, tape on floor",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Mixed,Level 1 (mild support),Group setting possible,No cost,Kinesthetic
138,Movement Break (Sensory) - Practice deep pressure #67,Sensory,Easy,Practice deep pressure calming routine,"transitioning, self-regulation","pom-poms, picture cards, clothespins",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Mixed,Level 3 (high support),Quiet environment,No cost,Auditory
139,Jump & Stop (Gross Motor) - Improve leftright awareness #26,Gross Motor,Moderate,Improve left-right awareness,"motor planning, endurance","clothespins, small toys, soft toys, blocks",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Sensory-seeking,Level 2 (moderate support),Low materials / small space,No cost,Auditory
140,Guided Journal (Writing) - Improve spacing and #60,Writing,Moderate,Improve spacing and line awareness,"copying skills, visual-motor integration","soft toys, tape on floor",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,No cost,Kinesthetic
141,Turn-Taking Game (Speech) - Improve receptive language #74,Speech,Easy,Improve receptive language following directions,"social communication, vocabulary","markers, buttons, pom-poms, pillow",25,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Sensory-avoidant,Level 1 (mild support),Outdoor friendly,No cost,Visual
142,Jump & Stop (Gross Motor) - Improve jumping and #176,Gross Motor,Easy,Improve jumping and landing control,"inhibition control, core strength","clothespins, rice or beans in a container, paper",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Sensory-seeking,Level 3 (high support),Outdoor friendly,Low cost,Auditory
143,Emotion Words (Speech) - Improve expressive vocabulary #79,Speech,Moderate,Improve expressive vocabulary,"vocabulary, turn-taking","blocks, glue",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Sensory-avoidant,Level 1 (mild support),Group setting possible,Low cost,Visual
144,Sentence Starters (Writing) - Improve handwriting fluency #204,Writing,Easy,Improve handwriting fluency,"visual-motor integration, spacing","zipper pouch, rice or beans in a container, soft toys, paper",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Mixed,Level 3 (high support),Low materials / small space,No cost,Mixed
145,Pinch & Place (Fine Motor) - Develop pincer grasp #86,Fine Motor,Moderate,Develop pincer grasp,"grip strength, finger isolation","blocks, markers, buttons, picture cards",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Sensory-avoidant,Level 1 (mild support),Outdoor friendly,No cost,Auditory
146,Sound Imitation (Speech) - Practice labeling emotions #9,Speech,Moderate,Practice labeling emotions with words,"social communication, turn-taking","paper, zipper pouch, glue, small toys",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Mixed,Level 2 (moderate support),Quiet environment,No cost,Mixed
147,Sound Imitation (Speech) - Support sound articulation #167,Speech,Easy,Support sound articulation,"question answering, listening","flashcards, small toys, markers",10,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Mixed,Level 1 (mild support),Quiet environment,No cost,Visual
148,Letter Hunt (Writing) - Build sentence writing #108,Writing,Easy,Build sentence writing using prompts,"fine motor precision, spacing","zipper pouch, rice or beans in a container, string",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Sensory-avoidant,Level 1 (mild support),Low materials / small space,No cost,Visual
149,Animal Walks (Gross Motor) - Improve leftright awareness #90,Gross Motor,Easy,Improve left-right awareness,"inhibition control, core strength","rice or beans in a container, clothespins, flashcards, playdough",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Neutral,Level 2 (moderate support),Outdoor friendly,Low cost,Kinesthetic
150,Heavy Work (Sensory) - Reduce restlessness using #143,Sensory,Challenging,Reduce restlessness using movement breaks,"transitioning, body awareness","small toys, flashcards",30,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Sensory-seeking,Level 1 (mild support),Low materials / small space,Low cost,Auditory
151,Dance Freeze (Gross Motor) - Improve balance and #63,Gross Motor,Easy,Improve balance and coordination,"endurance, balance","ball, markers, blocks, notebook",25,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Neutral,Level 1 (mild support),Group setting possible,Low cost,Auditory
152,Obstacle Course (Gross Motor) - Improve leftright awareness #22,Gross Motor,Moderate,Improve left-right awareness,"balance, endurance","picture cards, zipper pouch",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Neutral,Level 2 (moderate support),Outdoor friendly,No cost,Visual
153,Emotion Words (Speech) - Encourage turntaking in #60,Speech,Challenging,Encourage turn-taking in conversation,"listening, speech production","pom-poms, blocks, tape on floor, safe scissors",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Mixed,Level 2 (moderate support),Group setting possible,No cost,Auditory
154,Texture Bin (Sensory) - Reduce restlessness using #72,Sensory,Easy,Reduce restlessness using movement breaks,"sensory modulation, proprioception","paper, picture cards, string",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-seeking,Level 3 (high support),Quiet environment,Medium cost,Mixed
155,Ball Toss (Gross Motor) - Develop motor planning #189,Gross Motor,Easy,Develop motor planning,"coordination, core strength","stickers, plastic cups",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Sensory-seeking,Level 2 (moderate support),Low materials / small space,Medium cost,Auditory
156,Texture Bin (Sensory) - Support transition to #129,Sensory,Moderate,Support transition to new activities,"tactile tolerance, transitioning","pom-poms, stickers, flashcards",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Mixed,Level 1 (mild support),Low materials / small space,Low cost,Visual
157,Animal Walks (Gross Motor) - Improve balance and #52,Gross Motor,Easy,Improve balance and coordination,"endurance, balance","crayons, flashcards, tape on floor",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Sensory-seeking,Level 1 (mild support),Low materials / small space,Medium cost,Kinesthetic
158,Picture Naming (Speech) - Improve expressive vocabulary #199,Speech,Challenging,Improve expressive vocabulary,"turn-taking, question answering","picture cards, pom-poms",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Sensory-avoidant,Level 2 (moderate support),Group setting possible,Medium cost,Visual
159,Emotion Words (Speech) - Build social greeting #132,Speech,Moderate,Build social greeting skills,"vocabulary, question answering","playdough, safe scissors",10,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Mixed,Level 1 (mild support),Outdoor friendly,No cost,Auditory
160,Texture Bin (Sensory) - Improve tolerance to #224,Sensory,Moderate,Improve tolerance to textures,"self-regulation, body awareness","paper, buttons, playdough, small toys",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Auditory
161,Movement Break (Sensory) - Practice deep pressure #51,Sensory,Easy,Practice deep pressure calming routine,"transitioning, proprioception","soft toys, pom-poms, ball, blocks",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Mixed,Level 1 (mild support),Quiet environment,Low cost,Mixed
162,Shape Practice (Writing) - Practice tracing shapes #98,Writing,Challenging,Practice tracing shapes and letters,"copying skills, fine motor precision","stickers, pillow",25,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Sensory-avoidant,Level 1 (mild support),Low materials / small space,Low cost,Kinesthetic
163,Ball Toss (Gross Motor) - Build stamina with #228,Gross Motor,Moderate,Build stamina with short routines,"inhibition control, coordination","clothespins, rubber bands, crayons",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Sensory-seeking,Level 2 (moderate support),Low materials / small space,No cost,Visual
164,Playdough Press (Fine Motor) - Increase handeye coordination #17,Fine Motor,Moderate,Increase hand-eye coordination,"bilateral coordination, grip strength","glue, clothespins, small toys, spoon",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",3-4,Mixed,Level 1 (mild support),Outdoor friendly,Low cost,Auditory
165,Jump & Stop (Gross Motor) - Improve jumping and #231,Gross Motor,Moderate,Improve jumping and landing control,"motor planning, inhibition control","clothespins, glue",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Neutral,Level 1 (mild support),Outdoor friendly,Low cost,Visual
166,Sound Imitation (Speech) - Support sound articulation #119,Speech,Moderate,Support sound articulation,"social communication, speech production","spoon, picture cards",30,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",8-10,Sensory-avoidant,Level 1 (mild support),Group setting possible,Low cost,Visual
167,Ball Toss (Gross Motor) - Improve leftright awareness #190,Gross Motor,Easy,Improve left-right awareness,"core strength, balance","small toys, notebook, spoon, rubber bands",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Sensory-seeking,Level 2 (moderate support),Group setting possible,Low cost,Mixed
168,Cup Stacking (Fine Motor) - Improve scissor skills #106,Fine Motor,Moderate,Improve scissor skills with safe cutting,"tool use, hand-eye coordination","clothespins, pillow, flashcards, rice or beans in a container",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 1 (mild support),Group setting possible,Low cost,Kinesthetic
169,Shape Practice (Writing) - Develop letter formation #239,Writing,Easy,Develop letter formation,"visual-motor integration, sentence building","plastic cups, playdough, coins",30,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,No cost,Mixed
170,Sticker Pick-Up (Fine Motor) - Improve finger strength #89,Fine Motor,Easy,Improve finger strength and control,"tool use, bilateral coordination","spoon, paper, rubber bands",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Sensory-avoidant,Level 1 (mild support),Low materials / small space,No cost,Auditory
171,Turn-Taking Game (Speech) - Practice labeling emotions #89,Speech,Moderate,Practice labeling emotions with words,"social communication, turn-taking","stickers, picture cards",30,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Neutral,Level 1 (mild support),Outdoor friendly,Low cost,Kinesthetic
172,Ball Toss (Gross Motor) - Improve leftright awareness #162,Gross Motor,Moderate,Improve left-right awareness,"inhibition control, balance","rubber bands, markers",25,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Neutral,Level 3 (high support),Group setting possible,Low cost,Auditory
173,Deep Pressure Routine (Sensory) - Support transition to #198,Sensory,Easy,Support transition to new activities,"transitioning, proprioception","plastic cups, small toys",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Mixed,Level 2 (moderate support),Low materials / small space,No cost,Kinesthetic
174,Calm Corner (Sensory) - Provide calming sensory #128,Sensory,Easy,Provide calming sensory input,"transitioning, sensory modulation","small toys, string",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,Medium cost,Mixed
175,Cup Stacking (Fine Motor) - Improve buttoning and #6,Fine Motor,Moderate,Improve buttoning and zipping practice,"tool use, finger isolation","blocks, glue, paper, buttons",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 3 (high support),Group setting possible,No cost,Visual
176,Playdough Press (Fine Motor) - Improve writing readiness #137,Fine Motor,Moderate,Improve writing readiness,"tool use, hand-eye coordination","crayons, small toys, playdough, glue",30,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Neutral,Level 1 (mild support),Quiet environment,No cost,Kinesthetic
